,new_index,temp,ph
68844,68844,29.5,7.27
68845,68845,29.44,7.26
68846,68846,29.44,7.26
68847,68847,29.44,7.24
68848,68848,29.44,7.25
68849,68849,29.5,7.2
68850,68850,29.5,7.26
68851,68851,29.44,7.22
68852,68852,29.44,7.25
68853,68853,29.5,7.23
68854,68854,29.44,7.23
68855,68855,29.5,7.25
68856,68856,29.44,7.22
68857,68857,29.5,7.21
68858,68858,29.44,7.23
68859,68859,29.5,7.24
68860,68860,29.56,7.24
68861,68861,29.56,7.26
68862,68862,29.5,7.26
68863,68863,29.5,7.25
68864,68864,29.5,7.25
68865,68865,29.56,7.26
68866,68866,29.56,7.22
68867,68867,29.5,7.26
68868,68868,29.5,7.23
68869,68869,29.5,7.23
68870,68870,29.56,7.24
68871,68871,29.56,7.24
68872,68872,29.5,7.23
68873,68873,29.5,7.26
68874,68874,29.5,7.19
68875,68875,29.5,7.27
68876,68876,29.5,7.24
68877,68877,29.56,7.19
68878,68878,29.5,7.24
68879,68879,29.5,7.26
68880,68880,29.56,7.26
68881,68881,29.5,7.25
68882,68882,29.5,7.27
68883,68883,29.5,7.26
68884,68884,29.5,7.26
68885,68885,29.56,7.36
68886,68886,29.5,7.35
68887,68887,29.56,7.31
68888,68888,29.5,7.35
68889,68889,29.56,7.34
68890,68890,29.56,7.28
68891,68891,29.56,7.26
68892,68892,29.56,7.25
68893,68893,29.56,7.28
68894,68894,29.56,7.25
68895,68895,29.56,7.24
68896,68896,29.56,7.26
68897,68897,29.56,7.24
68898,68898,29.56,7.24
68899,68899,29.56,7.26
68900,68900,29.56,7.23
68901,68901,29.56,7.28
68902,68902,29.62,7.26
68903,68903,29.62,7.29
68904,68904,29.62,7.26
68905,68905,29.56,7.26
68906,68906,29.56,7.28
68907,68907,29.62,7.27
68908,68908,29.62,7.27
68909,68909,29.62,7.28
68910,68910,29.56,7.25
68911,68911,29.62,7.25
68912,68912,29.62,7.25
68913,68913,29.62,7.25
68914,68914,29.62,7.26
68915,68915,29.56,7.25
68916,68916,29.62,7.29
68917,68917,29.62,7.26
68918,68918,29.62,7.26
68919,68919,29.69,7.28
68920,68920,29.62,7.27
68921,68921,29.62,7.25
68922,68922,29.62,7.25
68923,68923,29.62,7.26
68924,68924,29.62,7.27
68925,68925,29.69,7.28
68926,68926,29.69,7.28
68927,68927,29.69,7.28
68928,68928,29.69,7.28
68929,68929,29.69,7.28
68930,68930,29.69,7.27
68931,68931,29.69,7.28
68932,68932,29.62,7.27
68933,68933,29.69,7.29
68934,68934,29.69,7.3
68935,68935,29.69,7.27
68936,68936,29.69,7.26
68937,68937,29.69,7.27
68938,68938,29.62,7.29
68939,68939,29.69,7.27
68940,68940,29.75,7.27
68941,68941,29.69,7.27
68942,68942,29.69,7.3
68943,68943,29.69,7.28
68944,68944,29.69,7.26
68945,68945,29.69,7.32
68946,68946,29.75,7.32
68947,68947,29.69,7.3
68948,68948,29.62,7.32
68949,68949,29.69,7.29
68950,68950,29.69,7.25
68951,68951,29.69,7.26
68952,68952,29.69,7.28
68953,68953,29.75,7.26
