,new_index,temp,ph
62095,62095,28.81,8.64
62096,62096,28.81,8.69
62097,62097,28.81,8.71
62098,62098,28.87,8.68
62099,62099,28.81,8.67
62100,62100,28.81,8.72
62101,62101,28.81,8.67
62102,62102,28.81,8.77
62103,62103,28.75,8.74
62104,62104,28.75,8.76
62105,62105,28.81,8.8
62106,62106,28.81,8.83
62107,62107,28.81,8.81
62108,62108,28.81,8.83
62109,62109,28.81,8.91
62110,62110,28.75,8.9
62111,62111,28.75,8.88
62112,62112,28.75,8.91
62113,62113,28.75,8.98
62114,62114,28.75,9.0
62115,62115,28.75,8.97
62116,62116,28.81,9.06
62117,62117,28.75,9.03
62118,62118,28.75,9.02
62119,62119,28.69,9.03
62120,62120,28.75,9.03
62121,62121,28.75,9.05
62122,62122,28.75,9.07
62123,62123,28.75,9.1
62124,62124,28.75,9.07
62125,62125,28.69,9.06
62126,62126,28.75,9.06
62127,62127,28.69,9.09
62128,62128,28.75,9.08
62129,62129,28.75,9.08
62130,62130,28.75,9.06
62131,62131,28.69,9.07
62132,62132,28.69,9.06
62133,62133,28.75,9.16
62134,62134,28.69,9.15
62135,62135,28.69,9.21
62136,62136,28.75,9.14
62137,62137,28.69,9.12
62138,62138,28.69,9.12
62139,62139,28.75,9.1
62140,62140,28.69,9.12
62141,62141,28.69,9.1
62142,62142,28.69,9.07
62143,62143,28.69,9.06
62144,62144,28.69,9.1
62145,62145,28.69,9.11
62146,62146,28.75,9.11
62147,62147,28.69,9.13
62148,62148,28.69,9.11
62149,62149,28.69,9.16
62150,62150,28.69,9.16
62151,62151,28.69,9.17
62152,62152,28.69,9.14
62153,62153,28.69,9.19
62154,62154,28.69,9.18
62155,62155,28.69,9.2
62156,62156,28.69,9.18
62157,62157,28.69,9.21
62158,62158,28.69,9.2
62159,62159,28.75,9.19
62160,62160,28.69,9.19
62161,62161,28.87,9.22
62162,62162,28.75,9.17
62163,62163,28.69,9.23
62164,62164,28.75,9.24
62165,62165,28.75,9.24
62166,62166,28.69,9.22
62167,62167,28.69,9.24
62168,62168,28.69,9.25
62169,62169,28.69,9.25
62170,62170,28.75,9.2
62171,62171,28.75,9.23
62172,62172,28.69,9.29
62173,62173,28.69,9.28
62174,62174,28.75,9.3
62175,62175,28.69,9.26
62176,62176,28.75,9.25
62177,62177,28.69,9.26
62178,62178,28.69,9.25
62179,62179,28.69,9.24
62180,62180,28.69,9.22
62181,62181,28.81,9.23
62182,62182,28.69,9.23
62183,62183,28.69,9.2
62184,62184,28.69,9.22
62185,62185,28.69,9.22
62186,62186,28.69,9.21
62187,62187,28.81,9.28
62188,62188,28.62,9.33
62189,62189,28.69,9.32
62190,62190,28.69,9.33
62191,62191,28.69,9.34
62192,62192,28.69,9.31
62193,62193,28.69,9.39
62194,62194,28.75,9.39
62195,62195,28.81,9.38
62196,62196,28.75,9.42
62197,62197,28.81,9.41
62198,62198,28.62,9.43
62199,62199,28.69,9.4
